place,lat,lon
Paris,48.8588897,2.320041
Marseille,43.29695,5.38107
Lyon,45.74846,4.84671
Toulouse,43.60426,1.44367
Nice,43.70313,7.26608
Nantes,47.21725,-1.55336
Strasbourg,48.58392,7.74553
Montpellier,43.61093,3.87635
Bordeaux,44.84044,-0.5805
Lille,50.63297,3.05858
Rennes,48.11198,-1.67429
Reims,49.26526,4.02853
Le Havre,49.4938,0.10767
Saint Etienne,45.43389,4.39
Toulon,43.12442,5.92836
Angers,47.47381,-0.54774
Grenoble,45.17869,5.71479
Dijon,47.31667,5.01667
Aix En Provence,43.5283,5.44973
Brest,48.39029,-4.48628
